"year","region","score"
"2015","Changnyeong-gun",10
"2016","Changnyeong-gun",10
"2017","Changnyeong-gun",10
"2018","Changnyeong-gun",10
"2019","Changnyeong-gun",10
"2020","Changnyeong-gun",10
"2021","Changnyeong-gun",10
"2022","Changnyeong-gun",10
"2023","Changnyeong-gun",10
"2024","Changnyeong-gun",10
"2015","Goheung-gun",9
"2016","Yeongcheon-si",9
"2017","Haenam-gun",9
"2018","Yeongcheon-si",9
"2019","Yeongcheon-si",9
"2020","Yeongcheon-si",9
"2021","Uiseong-gun",9
"2022","Uiseong-gun",9
"2023","Yeongcheon-si",9
"2024","Uiseong-gun",9
"2015","Uiseong-gun",8
"2016","Goheung-gun",8
"2017","Yeongcheon-si",8
"2018","Haenam-gun",8
"2019","Hapcheon-gun",8
"2020","Uiseong-gun",8
"2021","Yeongcheon-si",8
"2022","Yeongcheon-si",8
"2023","Uiseong-gun",8
"2024","Yeongcheon-si",8
"2015","Seogwipo-si",7
"2016","Seogwipo-si",7
"2017","Goheung-gun",7
"2018","Hapcheon-gun",7
"2019","Goheung-gun",7
"2020","Seogwipo-si",7
"2021","Seosan-si",7
"2022","Seosan-si",7
"2023","Seosan-si",7
"2024","Hapcheon-gun",7
"2015","Haenam-gun",6
"2016","Haenam-gun",6
"2017","Seogwipo-si",6
"2018","Seogwipo-si",6
"2019","Seogwipo-si",6
"2020","Hapcheon-gun",6
"2021","Seogwipo-si",6
"2022","Hapcheon-gun",6
"2023","Hapcheon-gun",6
"2024","Seosan-si",6
"2015","Sinan-gun",5
"2016","Uiseong-gun",5
"2017","Uiseong-gun",5
"2018","Goheung-gun",5
"2019","Uiseong-gun",5
"2020","Haenam-gun",5
"2021","Goheung-gun",5
"2022","Goheung-gun",5
"2023","Seogwipo-si",5
"2024","Taean-gun",5
"2015","Namhae-gun",4
"2016","Hapcheon-gun",4
"2017","Sinan-gun",4
"2018","Uiseong-gun",4
"2019","Haenam-gun",4
"2020","Goheung-gun",4
"2021","Hapcheon-gun",4
"2022","Seogwipo-si",4
"2023","Sinan-gun",4
"2024","Seogwipo-si",4
"2015","Yeongcheon-si",3
"2016","Jeju-si",3
"2017","Hapcheon-gun",3
"2018","Seosan-si",3
"2019","Seosan-si",3
"2020","Seosan-si",3
"2021","Taean-gun",3
"2022","Taean-gun",3
"2023","Taean-gun",3
"2024","Goheung-gun",3
"2015","Jeju-si",2
"2016","Taean-gun",2
"2017","Taean-gun",2
"2018","Taean-gun",2
"2019","Taean-gun",2
"2020","Taean-gun",2
"2021","Haenam-gun",2
"2022","Sinan-gun",2
"2023","Goheung-gun",2
"2024","Haenam-gun",2
"2015","Taean-gun",1
"2016","Sinan-gun",1
"2017","Jeju-si",1
"2018","Sinan-gun",1
"2019","Sinan-gun",1
"2020","Sinan-gun",1
"2021","Sinan-gun",1
"2022","Haenam-gun",1
"2023","Goryeong-gun",1
"2024","Sinan-gun",1
