year,debt_pct_gdp
1900,6.6
1901,5.7
1902,5.4
1903,5.0
1904,4.7
1905,4.3
1906,4.0
1907,4.0
1908,4.3
1909,3.8
1910,3.7
1911,3.6
1912,3.4
1913,3.2
1914,3.5
1915,3.3
1916,2.7
1917,13.3
1918,30.2
1919,33.4
1920,27.3
1921,31.6
1922,31.1
1923,25.2
1924,23.5
1925,21.6
1926,19.0
1927,18.0
1928,17.0
1929,14.9
1930,16.5
1931,22.3
1932,34.5
1933,39.1
1934,44.0
1935,42.9
1936,43.0
1937,40.1
1938,42.8
1939,43.0
1940,42.7
1941,43.3
1942,62.0
1943,77.1
1944,95.7
1945,112.7
1946,102.6
1947,90.4
1948,79.9
1949,81.4
1950,73.7
1951,63.7
1952,61.8
1953,60.2
1954,60.7
1955,55.5
1956,51.2
1957,48.1
1958,49.5
1959,47.0
1960,44.8
1961,44.6
1962,42.9
1963,41.083
1964,38.817
1965,36.764
1966,33.789
1967,31.873
1968,32.259
1969,28.37
1970,27.057
1971,27.14
1972,26.506
1973,25.202
1974,23.178
1975,24.562
1976,26.729
1977,27.125
1978,26.705
1979,24.958
1980,25.5
1981,25.195
1982,27.905
1983,32.163
1984,33.095
1985,35.339
1986,38.456
1987,39.637
1988,39.926
1989,39.439
1990,40.883
1991,44.131
1992,46.752
1993,47.945
1994,47.835
1995,47.674
1996,46.962
1997,44.638
1998,41.666
1999,38.318
2000,33.703
2001,31.538
2002,32.694
2003,34.697
2004,35.712
2005,35.765
2006,35.411
2007,35.197
2008,39.219
2009,52.15
2010,60.593
2011,65.485
2012,70.028
2013,71.805
2014,73.329
2015,72.212
2016,76.001
2017,75.692
2018,77.067
2019,78.928
2020,98.5
2021,96.702
2022,94.868
2023,95.758
2024,97.401
2025,99.375
